# This is a data table for enstatite and qtz computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 181 181
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
2071.0894287444844 11000.0 1053.1224025217816 3033.0156995359757 4.954912371176381e-05 1304.4895226447527 4.7642404232232366e-05 59533502103.370865 -13421234.280388176
2073.6856287228657 11000.0 1055.219610875938 3032.698995318408 5.0049784574716516e-05 1305.5151562091082 4.764737952004653e-05 59162805605.11941 -13418497.443282822
2076.2818287012474 11000.0 1057.3193068900146 3032.3786692651106 5.0580773636704544e-05 1306.5891632536411 4.76524127624929e-05 58775221266.20001 -13415755.15812629
2078.8780286796296 11000.0 1059.421409633942 3032.0545239968787 5.1145455792178054e-05 1307.7169284413487 4.7657507098361384e-05 58369191276.87307 -13413007.41855944
2081.4742286580117 11000.0 1061.5258286241442 3031.7263403747843 5.174774602114005e-05 1308.9047147659874 4.7662666011648255e-05 57942938905.05975 -13410254.218444714
2084.0704286363925 11000.0 1063.6324622831307 3031.3938739239047 5.239223187911378e-05 1310.1598569644661 4.766789338825038e-05 57494426861.2521 -13407495.551892783
2086.6666286147747 11000.0 1065.741196025163 3031.056850454803 5.308432937974214e-05 1311.4910114228778 4.7673193585372066e-05 57021303563.92674 -13404731.413293546
2089.2628285931564 11000.0 1067.851899924688 3030.7149606705625 5.3830487234801263e-05 1312.90848212905 4.767857151700882e-05 56520835125.726585 -13401961.797352618
2091.859028571538 11000.0 1069.9644257738255 3030.367853410036 5.4638457605412053e-05 1314.4246501941157 4.768403276103781e-05 55989819032.63648 -13399186.69913455
2094.45522854992 11000.0 1072.0786034008488 3030.0151271330046 5.551765647551403e-05 1316.05454825047 4.7689583694166504e-05 55424469780.42075 -13396406.114114491
2097.0514285283007 11000.0 1074.1942359297536 3029.656318980291 5.6479659487273974e-05 1317.8166528288998 4.7695231665298344e-05 54820267993.49863 -13393620.0382406
2099.6476285066838 11000.0 1076.3110936279409 3029.2908905727772 5.75388897099434e-05 1319.7339733909664 4.77009852205636e-05 54171757904.01234 -13390828.468010297
2102.243828485065 11000.0 1078.4289057864808 3028.918209187739 5.8713599694072956e-05 1321.8356195561607 4.77068544015754e-05 53472264976.224236 -13388031.400564581
2104.8400284634467 11000.0 1080.54734972585 3028.537522335962 6.002730871986546e-05 1324.1590840952167 4.771285114821512e-05 52713499120.28183 -13385228.833806522
